"","symbol_hs","symbol_mm","symbol_hs_mm"
"6048","MED30","Med30","MED30_Med30"
"6049","EXT1","Ext1","EXT1_Ext1"
"6050","SAMD12","Samd12","SAMD12_Samd12"
"6051","TNFRSF11B","Tnfrsf11b","TNFRSF11B_Tnfrsf11b"
"6052","COLEC10","Colec10","COLEC10_Colec10"
"6053","MAL2","Mal2","MAL2_Mal2"
"6054","CCN3","Ccn3","CCN3_Ccn3"
"6055","ENPP2","Enpp2","ENPP2_Enpp2"
"6056","TAF2","Taf2","TAF2_Taf2"
"6057","DSCC1","Dscc1","DSCC1_Dscc1"
"6058","DEPTOR","Deptor","DEPTOR_Deptor"
"6059","COL14A1","Col14a1","COL14A1_Col14a1"
"6060","MRPL13","Mrpl13","MRPL13_Mrpl13"
"6061","MTBP","Mtbp","MTBP_Mtbp"
"6062","SNTB1","Sntb1","SNTB1_Sntb1"
"6063","HAS2","Has2","HAS2_Has2"
"6064","ZHX2","Zhx2","ZHX2_Zhx2"
"6065","DERL1","Derl1","DERL1_Derl1"
"6066","TBC1D31","Tbc1d31","TBC1D31_Tbc1d31"
"6067","FAM83A","Fam83a","FAM83A_Fam83a"
"6068","C8orf76","9130401M01Rik","C8orf76_9130401M01Rik"
"6069","ZHX1","Zhx1","ZHX1_Zhx1"
"6070","FBXO32","Fbxo32","FBXO32_Fbxo32"
"6071","ANXA13","Anxa13","ANXA13_Anxa13"
"6072","FAM91A1","Fam91a1","FAM91A1_Fam91a1"
"6073","TMEM65","Tmem65","TMEM65_Tmem65"
"6074","TRMT12","Trmt12","TRMT12_Trmt12"
"6075","RNF139","Rnf139","RNF139_Rnf139"
"6076","TATDN1","Tatdn1","TATDN1_Tatdn1"
"6077","NDUFB9","Ndufb9","NDUFB9_Ndufb9"
"6078","MTSS1","Mtss1","MTSS1_Mtss1"
"6079","SQLE","Sqle","SQLE_Sqle"
"6080","WASHC5","Washc5","WASHC5_Washc5"
"6081","NSMCE2","Nsmce2","NSMCE2_Nsmce2"
"6082","TRIB1","Trib1","TRIB1_Trib1"
"6083","LRATD2","Lratd2","LRATD2_Lratd2"
"6084","FAM49B","Cyrib","FAM49B_Cyrib"
"6085","ASAP1","Asap1","ASAP1_Asap1"
"6086","EFR3A","Efr3a","EFR3A_Efr3a"
"6087","KCNQ3","Kcnq3","KCNQ3_Kcnq3"
"6088","TMEM71","Tmem71","TMEM71_Tmem71"
"6089","PHF20L1","Phf20l1","PHF20L1_Phf20l1"
"6090","TG","Tg","TG_Tg"
"6091","SLA","Sla","SLA_Sla"
"6092","CCN4","Ccn4","CCN4_Ccn4"
"6093","NDRG1","Ndrg1","NDRG1_Ndrg1"
"6094","ST3GAL1","St3gal1","ST3GAL1_St3gal1"
"6095","ZFAT","Zfat","ZFAT_Zfat"
"6096","KHDRBS3","Khdrbs3","KHDRBS3_Khdrbs3"
"6097","TRAPPC9","Trappc9","TRAPPC9_Trappc9"
"6098","CHRAC1","Chrac1","CHRAC1_Chrac1"
"6099","AGO2","Ago2","AGO2_Ago2"
"6100","PTK2","Ptk2","PTK2_Ptk2"
"6101","DENND3","Dennd3","DENND3_Dennd3"
"6102","SLC45A4","Slc45a4","SLC45A4_Slc45a4"
"6103","PTP4A3","Ptp4a3","PTP4A3_Ptp4a3"
"6104","ADGRB1","Adgrb1","ADGRB1_Adgrb1"
"6105","ARC","Arc","ARC_Arc"
"6106","JRK","Jrk","JRK_Jrk"
"6107","PSCA","Psca","PSCA_Psca"
"6108","LY6K","Ly6k","LY6K_Ly6k"
"6109","THEM6","Them6","THEM6_Them6"
"6110","LYPD2","Lypd2","LYPD2_Lypd2"
"6111","LY6D","Ly6d","LY6D_Ly6d"
"6112","LY6E","Ly6e","LY6E_Ly6e"
"6113","LY6H","Ly6h","LY6H_Ly6h"
"6114","GPIHBP1","Gpihbp1","GPIHBP1_Gpihbp1"
"6115","ZFP41","Zfp41","ZFP41_Zfp41"
"6116","TOP1MT","Top1mt","TOP1MT_Top1mt"
"6117","RHPN1","Rhpn1","RHPN1_Rhpn1"
"6118","ZC3H3","Zc3h3","ZC3H3_Zc3h3"
"6119","GSDMD","Gsdmd","GSDMD_Gsdmd"
"6120","MROH6","Mroh6","MROH6_Mroh6"
"6121","NAPRT","Naprt","NAPRT_Naprt"
"6122","EEF1D","Eef1d","EEF1D_Eef1d"
"6123","TIGD5","Tigd5","TIGD5_Tigd5"
"6124","PYCR3","Pycrl","PYCR3_Pycrl"
"6125","ZNF623","Zfp623","ZNF623_Zfp623"
"6126","MAPK15","Mapk15","MAPK15_Mapk15"
"6127","FAM83H","Fam83h","FAM83H_Fam83h"
"6128","IQANK1","Iqank1","IQANK1_Iqank1"
"6129","SCRIB","Scrib","SCRIB_Scrib"
"6130","PUF60","Puf60","PUF60_Puf60"
"6131","NRBP2","Nrbp2","NRBP2_Nrbp2"
"6132","EPPK1","Eppk1","EPPK1_Eppk1"
"6133","PLEC","Plec","PLEC_Plec"
"6134","PARP10","Parp10","PARP10_Parp10"
"6135","GRINA","Grina","GRINA_Grina"
"6136","SPATC1","Spatc1","SPATC1_Spatc1"
"6137","OPLAH","Oplah","OPLAH_Oplah"
"6138","EXOSC4","Exosc4","EXOSC4_Exosc4"
"6139","GPAA1","Gpaa1","GPAA1_Gpaa1"
"6140","CYC1","Cyc1","CYC1_Cyc1"
"6141","SHARPIN","Sharpin","SHARPIN_Sharpin"
"6142","MAF1","Maf1","MAF1_Maf1"
"6143","HGH1","Hgh1","HGH1_Hgh1"
"6144","MROH1","Mroh1","MROH1_Mroh1"
"6145","BOP1","Bop1","BOP1_Bop1"
"6146","SCX","Scx","SCX_Scx"
"6147","HSF1","Hsf1","HSF1_Hsf1"
"6148","DGAT1","Dgat1","DGAT1_Dgat1"
"6149","TMEM249","Tmem249","TMEM249_Tmem249"
"6150","FBXL6","Fbxl6","FBXL6_Fbxl6"
"6151","ADCK5","Adck5","ADCK5_Adck5"
"6152","CPSF1","Cpsf1","CPSF1_Cpsf1"
"6153","SLC39A4","Slc39a4","SLC39A4_Slc39a4"
"6154","VPS28","Vps28","VPS28_Vps28"
"6155","TONSL","Tonsl","TONSL_Tonsl"
"6156","CYHR1","Cyhr1","CYHR1_Cyhr1"
"6157","KIFC2","Kifc2","KIFC2_Kifc2"
"6158","PPP1R16A","Ppp1r16a","PPP1R16A_Ppp1r16a"
"6159","GPT","Gpt","GPT_Gpt"
"6160","MFSD3","Mfsd3","MFSD3_Mfsd3"
"6161","RECQL4","Recql4","RECQL4_Recql4"
"6162","LRRC14","Lrrc14","LRRC14_Lrrc14"
"6163","LRRC24","Lrrc24","LRRC24_Lrrc24"
"6164","C8orf82","C030006K11Rik","C8orf82_C030006K11Rik"
"6165","ARHGAP39","Arhgap39","ARHGAP39_Arhgap39"
"6166","ZNF251","Zfp251","ZNF251_Zfp251"
"6167","ZNF517","A430033K04Rik","ZNF517_A430033K04Rik"
"6168","ZNF7","Zfp7","ZNF7_Zfp7"
"6169","COMMD5","Commd5","COMMD5_Commd5"
"6170","ZNF250","Zfp647","ZNF250_Zfp647"
"6171","C8orf33","1110038F14Rik","C8orf33_1110038F14Rik"
"6172","WASHC1","Washc1","WASHC1_Washc1"
"6173","DOCK8","Dock8","DOCK8_Dock8"
"6174","KANK1","Kank1","KANK1_Kank1"
"6175","DMRT3","Dmrt3","DMRT3_Dmrt3"
"6176","DMRT2","Dmrt2","DMRT2_Dmrt2"
"6177","SMARCA2","Smarca2","SMARCA2_Smarca2"
"6178","VLDLR","Vldlr","VLDLR_Vldlr"
"6179","PUM3","Pum3","PUM3_Pum3"
"6180","RFX3","Rfx3","RFX3_Rfx3"
"6181","GLIS3","Glis3","GLIS3_Glis3"
"6182","SLC1A1","Slc1a1","SLC1A1_Slc1a1"
"6183","SPATA6L","Spata6l","SPATA6L_Spata6l"
"6184","PLPP6","Plpp6","PLPP6_Plpp6"
"6185","CDC37L1","Cdc37l1","CDC37L1_Cdc37l1"
"6186","AK3","Ak3","AK3_Ak3"
"6187","RCL1","Rcl1","RCL1_Rcl1"
"6188","JAK2","Jak2","JAK2_Jak2"
"6189","RLN2","Rln1","RLN2_Rln1"
"6190","PLGRKT","Plgrkt","PLGRKT_Plgrkt"
"6191","CD274","Cd274","CD274_Cd274"
"6192","PDCD1LG2","Pdcd1lg2","PDCD1LG2_Pdcd1lg2"
"6193","RIC1","Ric1","RIC1_Ric1"
"6194","ERMP1","Ermp1","ERMP1_Ermp1"
"6195","KIAA2026","9930021J03Rik","KIAA2026_9930021J03Rik"
"6196","RANBP6","Ranbp6","RANBP6_Ranbp6"
"6197","IL33","Il33","IL33_Il33"
"6198","UHRF2","Uhrf2","UHRF2_Uhrf2"
"6199","GLDC","Gldc","GLDC_Gldc"
"6200","KDM4C","Kdm4c","KDM4C_Kdm4c"
"6201","DMAC1","Dmac1","DMAC1_Dmac1"
"6202","PTPRD","Ptprd","PTPRD_Ptprd"
"6203","TYRP1","Tyrp1","TYRP1_Tyrp1"
"6204","LURAP1L","Lurap1l","LURAP1L_Lurap1l"
"6205","MPDZ","Mpdz","MPDZ_Mpdz"
"6206","NFIB","Nfib","NFIB_Nfib"
"6207","ZDHHC21","Zdhhc21","ZDHHC21_Zdhhc21"
"6208","FREM1","Frem1","FREM1_Frem1"
"6209","TTC39B","Ttc39b","TTC39B_Ttc39b"
"6210","SNAPC3","Snapc3","SNAPC3_Snapc3"
"6211","PSIP1","Psip1","PSIP1_Psip1"
"6212","CCDC171","Ccdc171","CCDC171_Ccdc171"
"6213","BNC2","Bnc2","BNC2_Bnc2"
"6214","CNTLN","Cntln","CNTLN_Cntln"
"6215","SH3GL2","Sh3gl2","SH3GL2_Sh3gl2"
"6216","ADAMTSL1","Adamtsl1","ADAMTSL1_Adamtsl1"
"6217","RRAGA","Rraga","RRAGA_Rraga"
"6218","HAUS6","Haus6","HAUS6_Haus6"
"6219","PLIN2","Plin2","PLIN2_Plin2"
"6220","DENND4C","Dennd4c","DENND4C_Dennd4c"
"6221","ACER2","Acer2","ACER2_Acer2"
"6222","MLLT3","Mllt3","MLLT3_Mllt3"
"6223","FOCAD","Focad","FOCAD_Focad"
"6224","HACD4","Hacd4","HACD4_Hacd4"
"6225","KLHL9","Klhl9","KLHL9_Klhl9"
"6226","MTAP","Mtap","MTAP_Mtap"
"6227","CDKN2B","Cdkn2b","CDKN2B_Cdkn2b"
"6228","DMRTA1","Dmrta1","DMRTA1_Dmrta1"
"6229","TUSC1","Tusc1","TUSC1_Tusc1"
"6230","CAAP1","Caap1","CAAP1_Caap1"
"6231","PLAA","Plaa","PLAA_Plaa"
"6232","IFT74","Ift74","IFT74_Ift74"
"6233","TEK","Tek","TEK_Tek"
"6234","MOB3B","Mob3b","MOB3B_Mob3b"
"6235","C9orf72","C9orf72","C9orf72_C9orf72"
"6236","ACO1","Aco1","ACO1_Aco1"
"6237","DDX58","Ddx58","DDX58_Ddx58"
"6238","TOPORS","Topors","TOPORS_Topors"
"6239","SMIM27","Smim27","SMIM27_Smim27"
"6240","NDUFB6","Ndufb6","NDUFB6_Ndufb6"
"6241","TMEM215","Tmem215","TMEM215_Tmem215"
"6242","APTX","Aptx","APTX_Aptx"
"6243","DNAJA1","Dnaja1","DNAJA1_Dnaja1"
"6244","SMU1","Smu1","SMU1_Smu1"
"6245","B4GALT1","B4galt1","B4GALT1_B4galt1"
"6246","BAG1","Bag1","BAG1_Bag1"
"6247","CHMP5","Chmp5","CHMP5_Chmp5"
"6248","NFX1","Nfx1","NFX1_Nfx1"
"6249","AQP7","Aqp7","AQP7_Aqp7"
"6250","AQP3","Aqp3","AQP3_Aqp3"
"6251","NOL6","Nol6","NOL6_Nol6"
"6252","UBE2R2","Ube2r2","UBE2R2_Ube2r2"
"6253","UBAP2","Ubap2","UBAP2_Ubap2"
"6254","DCAF12","Dcaf12","DCAF12_Dcaf12"
"6255","UBAP1","Ubap1","UBAP1_Ubap1"
"6256","KIF24","Kif24","KIF24_Kif24"
"6257","NUDT2","Nudt2","NUDT2_Nudt2"
"6258","MYORG","Myorg","MYORG_Myorg"
"6259","C9orf24","1110017D15Rik","C9orf24_1110017D15Rik"
"6260","FAM219A","Fam219a","FAM219A_Fam219a"
"6261","DNAI1","Dnai1","DNAI1_Dnai1"
"6262","ENHO","Enho","ENHO_Enho"
"6263","CNTFR","Cntfr","CNTFR_Cntfr"
"6264","RPP25L","Rpp25l","RPP25L_Rpp25l"
"6265","DCTN3","Dctn3","DCTN3_Dctn3"
"6266","SIGMAR1","Sigmar1","SIGMAR1_Sigmar1"
"6267","GALT","Galt","GALT_Galt"
"6268","CCL19","Ccl19","CCL19_Ccl19"
"6269","PHF24","Phf24","PHF24_Phf24"
"6270","DNAJB5","Dnajb5","DNAJB5_Dnajb5"
"6271","VCP","Vcp","VCP_Vcp"
"6272","FANCG","Fancg","FANCG_Fancg"
"6273","PIGO","Pigo","PIGO_Pigo"
"6274","STOML2","Stoml2","STOML2_Stoml2"
"6275","FAM214B","Fam214b","FAM214B_Fam214b"
"6276","UNC13B","Unc13b","UNC13B_Unc13b"
"6277","RUSC2","Rusc2","RUSC2_Rusc2"
"6278","FAM166B","Fam166b","FAM166B_Fam166b"
"6279","TESK1","Tesk1","TESK1_Tesk1"
"6280","CD72","Cd72","CD72_Cd72"
"6281","SIT1","Sit1","SIT1_Sit1"
"6282","CCDC107","Ccdc107","CCDC107_Ccdc107"
"6283","ARHGEF39","Arhgef39","ARHGEF39_Arhgef39"
"6284","CA9","Car9","CA9_Car9"
"6285","TPM2","Tpm2","TPM2_Tpm2"
"6286","TLN1","Tln1","TLN1_Tln1"
"6287","CREB3","Creb3","CREB3_Creb3"
"6288","GBA2","Gba2","GBA2_Gba2"
"6289","RGP1","Rgp1","RGP1_Rgp1"
"6290","MSMP","Msmp","MSMP_Msmp"
"6291","NPR2","Npr2","NPR2_Npr2"
"6292","SPAG8","Spag8","SPAG8_Spag8"
"6293","HINT2","Hint2","HINT2_Hint2"
"6294","TMEM8B","Tmem8b","TMEM8B_Tmem8b"
"6295","FAM221B","Fam221b","FAM221B_Fam221b"
"6296","HRCT1","Hrct1","HRCT1_Hrct1"
"6297","SPAAR","Spaar","SPAAR_Spaar"
"6298","RECK","Reck","RECK_Reck"
"6299","GLIPR2","Glipr2","GLIPR2_Glipr2"
"6300","CCIN","Ccin","CCIN_Ccin"
"6301","CLTA","Clta","CLTA_Clta"
"6302","GNE","Gne","GNE_Gne"
"6303","RNF38","Rnf38","RNF38_Rnf38"
"6304","MELK","Melk","MELK_Melk"
"6305","PAX5","Pax5","PAX5_Pax5"
"6306","ZCCHC7","Zcchc7","ZCCHC7_Zcchc7"
"6307","GRHPR","Grhpr","GRHPR_Grhpr"
"6308","ZBTB5","Zbtb5","ZBTB5_Zbtb5"
"6309","POLR1E","Polr1e","POLR1E_Polr1e"
"6310","FBXO10","Fbxo10","FBXO10_Fbxo10"
"6311","TRMT10B","Trmt10b","TRMT10B_Trmt10b"
"6312","EXOSC3","Exosc3","EXOSC3_Exosc3"
"6313","DCAF10","Dcaf10","DCAF10_Dcaf10"
"6314","SLC25A51","Slc25a51","SLC25A51_Slc25a51"
"6315","SHB","Shb","SHB_Shb"
"6316","ALDH1B1","Aldh1b1","ALDH1B1_Aldh1b1"
"6317","IGFBPL1","Igfbpl1","IGFBPL1_Igfbpl1"
"6318","PGM5","Pgm5","PGM5_Pgm5"
"6319","PIP5K1B","Pip5k1b","PIP5K1B_Pip5k1b"
"6320","FXN","Fxn","FXN_Fxn"
"6321","TJP2","Tjp2","TJP2_Tjp2"
"6322","FAM189A2","Fam189a2","FAM189A2_Fam189a2"
"6323","APBA1","Apba1","APBA1_Apba1"
"6324","PTAR1","Ptar1","PTAR1_Ptar1"
"6325","MAMDC2","Mamdc2","MAMDC2_Mamdc2"
"6326","SMC5","Smc5","SMC5_Smc5"
"6327","KLF9","Klf9","KLF9_Klf9"
"6328","TRPM3","Trpm3","TRPM3_Trpm3"
"6329","CEMIP2","Cemip2","CEMIP2_Cemip2"
"6330","ABHD17B","Abhd17b","ABHD17B_Abhd17b"
"6331","C9orf85","1110059E24Rik","C9orf85_1110059E24Rik"
"6332","GDA","Gda","GDA_Gda"
"6333","ZFAND5","Zfand5","ZFAND5_Zfand5"
"6334","ANXA1","Anxa1","ANXA1_Anxa1"
"6335","RORB","Rorb","RORB_Rorb"
"6336","TRPM6","Trpm6","TRPM6_Trpm6"
"6337","C9orf40","D030056L22Rik","C9orf40_D030056L22Rik"
"6338","CARNMT1","Carnmt1","CARNMT1_Carnmt1"
"6339","NMRK1","Nmrk1","NMRK1_Nmrk1"
"6340","OSTF1","Ostf1","OSTF1_Ostf1"
"6341","PCSK5","Pcsk5","PCSK5_Pcsk5"
"6342","RFK","Rfk","RFK_Rfk"
"6343","GCNT1","Gcnt1","GCNT1_Gcnt1"
"6344","PRUNE2","Prune2","PRUNE2_Prune2"
"6345","VPS13A","Vps13a","VPS13A_Vps13a"
"6346","GNA14","Gna14","GNA14_Gna14"
"6347","CEP78","Cep78","CEP78_Cep78"
"6348","PSAT1","Psat1","PSAT1_Psat1"
"6349","TLE4","Tle4","TLE4_Tle4"
"6350","TLE1","Tle1","TLE1_Tle1"
"6351","RASEF","Rasef","RASEF_Rasef"
"6352","FRMD3","Frmd3","FRMD3_Frmd3"
"6353","IDNK","Idnk","IDNK_Idnk"
"6354","UBQLN1","Ubqln1","UBQLN1_Ubqln1"
"6355","GKAP1","Gkap1","GKAP1_Gkap1"
"6356","KIF27","Kif27","KIF27_Kif27"
"6357","C9orf64","2210016F16Rik","C9orf64_2210016F16Rik"
"6358","HNRNPK","Hnrnpk","HNRNPK_Hnrnpk"
"6359","RMI1","Rmi1","RMI1_Rmi1"
"6360","SLC28A3","Slc28a3","SLC28A3_Slc28a3"
"6361","NTRK2","Ntrk2","NTRK2_Ntrk2"
"6362","AGTPBP1","Agtpbp1","AGTPBP1_Agtpbp1"
"6363","NAA35","Naa35","NAA35_Naa35"
"6364","GOLM1","Golm1","GOLM1_Golm1"
"6365","TUT7","Tut7","TUT7_Tut7"
"6366","GAS1","Gas1","GAS1_Gas1"
"6367","DAPK1","Dapk1","DAPK1_Dapk1"
"6368","CDK20","Cdk20","CDK20_Cdk20"
"6369","S1PR3","S1pr3","S1PR3_S1pr3"
"6370","SHC3","Shc3","SHC3_Shc3"
"6371","CKS2","Cks2","CKS2_Cks2"
"6372","SECISBP2","Secisbp2","SECISBP2_Secisbp2"
"6373","SEMA4D","Sema4d","SEMA4D_Sema4d"
"6374","GADD45G","Gadd45g","GADD45G_Gadd45g"
"6375","SYK","Syk","SYK_Syk"
"6376","AUH","Auh","AUH_Auh"
"6377","NFIL3","Nfil3","NFIL3_Nfil3"
"6378","ROR2","Ror2","ROR2_Ror2"
"6379","SPTLC1","Sptlc1","SPTLC1_Sptlc1"
"6380","NOL8","Nol8","NOL8_Nol8"
"6381","CENPP","Cenpp","CENPP_Cenpp"
"6382","OGN","Ogn","OGN_Ogn"
"6383","OMD","Omd","OMD_Omd"
"6384","ASPN","Aspn","ASPN_Aspn"
"6385","ECM2","Ecm2","ECM2_Ecm2"
"6386","IPPK","Ippk","IPPK_Ippk"
"6387","BICD2","Bicd2","BICD2_Bicd2"
"6388","FGD3","Fgd3","FGD3_Fgd3"
"6389","SUSD3","Susd3","SUSD3_Susd3"
"6390","CARD19","Card19","CARD19_Card19"
"6391","NINJ1","Ninj1","NINJ1_Ninj1"
"6392","WNK2","Wnk2","WNK2_Wnk2"
"6393","FAM120A","Fam120a","FAM120A_Fam120a"
"6394","PHF2","Phf2","PHF2_Phf2"
"6395","PTPDC1","Ptpdc1","PTPDC1_Ptpdc1"
"6396","ZNF169","Zfp169","ZNF169_Zfp169"
"6397","MFSD14B","Mfsd14b","MFSD14B_Mfsd14b"
"6398","FBP1","Fbp1","FBP1_Fbp1"
"6399","AOPEP","Aopep","AOPEP_Aopep"
"6400","FANCC","Fancc","FANCC_Fancc"
"6401","PTCH1","Ptch1","PTCH1_Ptch1"
"6402","HSD17B3","Hsd17b3","HSD17B3_Hsd17b3"
"6403","SLC35D2","Slc35d2","SLC35D2_Slc35d2"
"6404","ZNF367","Zfp367","ZNF367_Zfp367"
"6405","HABP4","Habp4","HABP4_Habp4"
"6406","PRXL2C","Prxl2c","PRXL2C_Prxl2c"
"6407","CCDC180","Ccdc180","CCDC180_Ccdc180"
"6408","TDRD7","Tdrd7","TDRD7_Tdrd7"
"6409","TMOD1","Tmod1","TMOD1_Tmod1"
"6410","TSTD2","Tstd2","TSTD2_Tstd2"
"6411","NCBP1","Ncbp1","NCBP1_Ncbp1"
"6412","XPA","Xpa","XPA_Xpa"
"6413","TRMO","Trmo","TRMO_Trmo"
"6414","HEMGN","Hemgn","HEMGN_Hemgn"
"6415","ANP32B","Anp32b","ANP32B_Anp32b"
"6416","NANS","Nans","NANS_Nans"
"6417","TRIM14","Trim14","TRIM14_Trim14"
"6418","CORO2A","Coro2a","CORO2A_Coro2a"
"6419","TBC1D2","Tbc1d2","TBC1D2_Tbc1d2"
"6420","GABBR2","Gabbr2","GABBR2_Gabbr2"
"6421","ANKS6","Anks6","ANKS6_Anks6"
"6422","GALNT12","Galnt12","GALNT12_Galnt12"
"6423","COL15A1","Col15a1","COL15A1_Col15a1"
"6424","TGFBR1","Tgfbr1","TGFBR1_Tgfbr1"
"6425","ALG2","Alg2","ALG2_Alg2"
"6426","SEC61B","Gm10320","SEC61B_Gm10320"
"6427","NR4A3","Nr4a3","NR4A3_Nr4a3"
"6428","STX17","Stx17","STX17_Stx17"
"6429","ERP44","Erp44","ERP44_Erp44"
"6430","INVS","Invs","INVS_Invs"
"6431","TEX10","Tex10","TEX10_Tex10"
"6432","MSANTD3","Msantd3","MSANTD3_Msantd3"
"6433","TMEFF1","Tmeff1","TMEFF1_Tmeff1"
"6434","CAVIN4","Cavin4","CAVIN4_Cavin4"
"6435","PLPPR1","Plppr1","PLPPR1_Plppr1"
"6436","BAAT","Baat","BAAT_Baat"
"6437","MRPL50","Mrpl50","MRPL50_Mrpl50"
"6438","ZNF189","Zfp189","ZNF189_Zfp189"
"6439","RNF20","Rnf20","RNF20_Rnf20"
"6440","SMC2","Smc2","SMC2_Smc2"
"6441","ABCA1","Abca1","ABCA1_Abca1"
"6442","SLC44A1","Slc44a1","SLC44A1_Slc44a1"
"6443","FSD1L","Fsd1l","FSD1L_Fsd1l"
"6444","FKTN","Fktn","FKTN_Fktn"
"6445","TMEM38B","Tmem38b","TMEM38B_Tmem38b"
"6446","ZNF462","Zfp462","ZNF462_Zfp462"
"6447","RAD23B","Rad23b","RAD23B_Rad23b"
"6448","KLF4","Klf4","KLF4_Klf4"
"6449","ELP1","Elp1","ELP1_Elp1"
"6450","ABITRAM","Abitram","ABITRAM_Abitram"
"6451","CTNNAL1","Ctnnal1","CTNNAL1_Ctnnal1"
"6452","TMEM245","Tmem245","TMEM245_Tmem245"
"6453","EPB41L4B","Epb41l4b","EPB41L4B_Epb41l4b"
"6454","PTPN3","Ptpn3","PTPN3_Ptpn3"
"6455","C9orf152","D630039A03Rik","C9orf152_D630039A03Rik"
"6456","TXN","Txn1","TXN_Txn1"
"6457","SVEP1","Svep1","SVEP1_Svep1"
"6458","MUSK","Musk","MUSK_Musk"
"6459","LPAR1","Lpar1","LPAR1_Lpar1"
"6460","ECPAS","Ecpas","ECPAS_Ecpas"
"6461","ZNF483","Zkscan16","ZNF483_Zkscan16"
"6462","PTGR1","Ptgr1","PTGR1_Ptgr1"
"6463","DNAJC25","Dnajc25","DNAJC25_Dnajc25"
"6464","GNG10","Gng10","GNG10_Gng10"
"6465","UGCG","Ugcg","UGCG_Ugcg"
"6466","SUSD1","Susd1","SUSD1_Susd1"
"6467","PTBP3","Ptbp3","PTBP3_Ptbp3"
"6468","HSDL2","Hsdl2","HSDL2_Hsdl2"
"6469","KIAA1958","E130308A19Rik","KIAA1958_E130308A19Rik"
"6470","INIP","Inip","INIP_Inip"
"6471","SNX30","Snx30","SNX30_Snx30"
"6472","SLC46A2","Slc46a2","SLC46A2_Slc46a2"
"6473","ZFP37","Zfp37","ZFP37_Zfp37"
"6474","SLC31A2","Slc31a2","SLC31A2_Slc31a2"
"6475","FKBP15","Fkbp15","FKBP15_Fkbp15"
"6476","SLC31A1","Slc31a1","SLC31A1_Slc31a1"
"6477","CDC26","Cdc26","CDC26_Cdc26"
"6478","PRPF4","Prpf4","PRPF4_Prpf4"
"6479","WDR31","Wdr31","WDR31_Wdr31"
"6480","BSPRY","Bspry","BSPRY_Bspry"
"6481","HDHD3","Hdhd3","HDHD3_Hdhd3"
"6482","ALAD","Alad","ALAD_Alad"
"6483","POLE3","Pole3","POLE3_Pole3"
"6484","C9orf43","4933430I17Rik","C9orf43_4933430I17Rik"
"6485","RGS3","Rgs3","RGS3_Rgs3"
"6486","ZNF618","Zfp618","ZNF618_Zfp618"
"6487","KIF12","Kif12","KIF12_Kif12"
"6488","COL27A1","Col27a1","COL27A1_Col27a1"
"6489","AKNA","Akna","AKNA_Akna"
"6490","WHRN","Whrn","WHRN_Whrn"
"6491","ATP6V1G1","Atp6v1g1","ATP6V1G1_Atp6v1g1"
"6492","TMEM268","Tmem268","TMEM268_Tmem268"
"6493","TNFSF15","Tnfsf15","TNFSF15_Tnfsf15"
"6494","TNFSF8","Tnfsf8","TNFSF8_Tnfsf8"
"6495","TNC","Tnc","TNC_Tnc"
"6496","PAPPA","Pappa","PAPPA_Pappa"
"6497","ASTN2","Astn2","ASTN2_Astn2"
"6498","TRIM32","Trim32","TRIM32_Trim32"
"6499","TLR4","Tlr4","TLR4_Tlr4"
"6500","BRINP1","Brinp1","BRINP1_Brinp1"
"6501","CDK5RAP2","Cdk5rap2","CDK5RAP2_Cdk5rap2"
"6502","MEGF9","Megf9","MEGF9_Megf9"
"6503","FBXW2","Fbxw2","FBXW2_Fbxw2"
"6504","PSMD5","Psmd5","PSMD5_Psmd5"
"6505","PHF19","Phf19","PHF19_Phf19"
"6506","TRAF1","Traf1","TRAF1_Traf1"
"6507","C5","Hc","C5_Hc"
"6508","CNTRL","Cntrl","CNTRL_Cntrl"
"6509","RAB14","Rab14","RAB14_Rab14"
"6510","GSN","Gsn","GSN_Gsn"
"6511","STOM","Stom","STOM_Stom"
"6512","DAB2IP","Dab2ip","DAB2IP_Dab2ip"
"6513","TTLL11","Ttll11","TTLL11_Ttll11"
"6514","NDUFA8","Ndufa8","NDUFA8_Ndufa8"
"6515","MORN5","Morn5","MORN5_Morn5"
"6516","LHX6","Lhx6","LHX6_Lhx6"
"6517","RBM18","Rbm18","RBM18_Rbm18"
"6518","MRRF","Mrrf","MRRF_Mrrf"
"6519","PTGS1","Ptgs1","PTGS1_Ptgs1"
"6520","PDCL","Pdcl","PDCL_Pdcl"
"6521","RC3H2","Rc3h2","RC3H2_Rc3h2"
"6522","ZBTB6","Zbtb6","ZBTB6_Zbtb6"
"6523","ZBTB26","Zbtb26","ZBTB26_Zbtb26"
"6524","STRBP","Strbp","STRBP_Strbp"
"6525","DENND1A","Dennd1a","DENND1A_Dennd1a"
"6526","NEK6","Nek6","NEK6_Nek6"
"6527","PSMB7","Psmb7","PSMB7_Psmb7"
"6528","NR6A1","Nr6a1","NR6A1_Nr6a1"
"6529","OLFML2A","Olfml2a","OLFML2A_Olfml2a"
"6530","WDR38","Wdr38","WDR38_Wdr38"
"6531","ARPC5L","Arpc5l","ARPC5L_Arpc5l"
"6532","GOLGA1","Golga1","GOLGA1_Golga1"
"6533","SCAI","Scai","SCAI_Scai"
"6534","PPP6C","Ppp6c","PPP6C_Ppp6c"
"6535","RABEPK","Rabepk","RABEPK_Rabepk"
"6536","HSPA5","Hspa5","HSPA5_Hspa5"
