"symbol_mm","symbol_hs"
"Cdc42bpa","CDC42BPA"
"Coq8a","COQ8A"
"Psen2","PSEN2"
"Itpkb","ITPKB"
"Stum","STUM"
"Parp1","PARP1"
"Lin9","LIN9"
"Acbd3","ACBD3"
"H3f3a","H3-3B"
"Sde2","SDE2"
"Pycr2","PYCR2"
"Tmem63a","TMEM63A"
"Ephx1","EPHX1"
"Nvl","NVL"
"Cnih4","CNIH4"
"Wdr26","WDR26"
"Dnah14","DNAH14"
"Lbr","LBR"
"Enah","ENAH"
"Srp9","SRP9"
"Degs1","DEGS1"
"Fbxo28","FBXO28"
"Trp53bp2","TP53BP2"
"Capn2","CAPN2"
"Capn8","CAPN8"
"Susd4","SUSD4"
"Tlr5","TLR5"
"Disp1","DISP1"
"Brox","BROX"
"Aida","AIDA"
"Mia3","MIA3"
"Taf1a","TAF1A"
"Hhipl2","HHIPL2"
"Dusp10","DUSP10"
"Hlx","HLX"
"C130074G19Rik","C1orf115"
"Mark1","MARK1"
"Rab3gap2","RAB3GAP2"
"Iars2","IARS2"
"Bpnt1","BPNT1"
"Eprs","EPRS1"
"Lyplal1","LYPLAL1"
"Tgfb2","TGFB2"
"Rrp15","RRP15"
"Spata17","SPATA17"
"Gpatch2","GPATCH2"
"Esrrg","ESRRG"
"Kctd3","KCTD3"
"Kcnk2","KCNK2"
"Cenpf","CENPF"
"Ptpn14","PTPN14"
"Smyd2","SMYD2"
"Prox1","PROX1"
"Angel2","ANGEL2"
"Vash2","VASH2"
"Flvcr1","FLVCR1"
"Tatdn3","TATDN3"
"Nsl1","NSL1"
"Batf3","BATF3"
"Atf3","ATF3"
"Nenf","NENF"
"Pacc1","PACC1"
"Ppp2r5a","PPP2R5A"
"Dtl","DTL"
"Ints7","INTS7"
"Lpgat1","LPGAT1"
"Nek2","NEK2"
"Slc30a1","SLC30A1"
"Rd3","RD3"
"Traf5","TRAF5"
"Rcor3","RCOR3"
"Kcnh1","KCNH1"
"Hhat","HHAT"
"Sertad4","SERTAD4"
"Syt14","SYT14"
"Utp25","UTP25"
"Irf6","IRF6"
"A130010J15Rik","C1orf74"
"Traf3ip3","TRAF3IP3"
"Lamb3","LAMB3"
"Hsd11b1","HSD11B1"
"G0s2","G0S2"
"Camk1g","CAMK1G"
"Plxna2","PLXNA2"
"Cd34","CD34"
"Cd46","CD46"
"Cr1l","CR1"
"Cr2","CR2"
"Fam171a1","FAM171A1"
"Nmt2","NMT2"
"Rpp38","RPP38"
"Acbd7","ACBD7"
"Meig1","MEIG1"
"Dclre1c","DCLRE1C"
"Suv39h2","SUV39H2"
"Hspa14","HSPA14"
"Cdnf","CDNF"
"Fam107b","FAM107B"
"Frmd4a","FRMD4A"
"Prpf18","PRPF18"
"Bend7","BEND7"
"Sephs1","SEPHS1"
"Phyh","PHYH"
"Mcm10","MCM10"
"Optn","OPTN"
"Ccdc3","CCDC3"
"Camk1d","CAMK1D"
"Cdc123","CDC123"
"Nudt5","NUDT5"
"Sec61a2","SEC61A2"
"Dhtkd1","DHTKD1"
"Upf2","UPF2"
"Proser2","PROSER2"
"Echdc3","ECHDC3"
"Usp6nl","USP6NL"
"Celf2","CELF2"
"Gata3","GATA3"
"Taf3","TAF3"
"Atp5c1","ATP5F1C"
"Kin","KIN"
"Itih2","ITIH2"
"Itih5","ITIH5"
"Sfmbt2","SFMBT2"
"Prkcq","PRKCQ"
"Pfkfb3","PFKFB3"
"Rbm17","RBM17"
"Il2ra","IL2RA"
"Il15ra","IL15RA"
"Fbh1","FBH1"
"Ankrd16","ANKRD16"
"Itga8","ITGA8"
"Mindy3","MINDY3"
"Pter","PTER"
"Rsu1","RSU1"
"Cubn","CUBN"
"Trdmt1","TRDMT1"
"Vim","VIM"
"St8sia6","ST8SIA6"
"Hacd1","HACD1"
"Stam","STAM"
"Mrc1","MRC1"
"Slc39a12","SLC39A12"
"Cacnb2","CACNB2"
"Nsun6","NSUN6"
"Arl5b","ARL5B"
"Plxdc2","PLXDC2"
"Nebl","NEBL"
"Skida1","SKIDA1"
"Mllt10","MLLT10"
"Dnajc1","DNAJC1"
"Commd3","COMMD3"
"Bmi1","BMI1"
"Pip4k2a","PIP4K2A"
"Armc3","ARMC3"
"Msrb2","MSRB2"
"Otud1","OTUD1"
"Etl4","KIAA1217"
"Arhgap21","ARHGAP21"
"Enkur","ENKUR"
"Thnsl1","THNSL1"
